code,type,units,manufacturer,range,maxfuel,fuelunit
A319,jet,metric,Airbus,3750,30190,litres
A320,jet,metric,Airbus,12000,24210,litres
A321,jet,metric,Airbus,12000,30030,litres
A330,jet,metric,Airbus,13430,139090,litres
737,jet,imperial,Boeing,5600,6853,gallons
747,jet,imperial,Boeing,9800,53985,gallons
757,jet,imperial,Boeing,7222,11276,gallons
767,jet,imperial,Boeing,7130,16700,gallons
777,jet,imperial,Boeing,9700,31000,gallons
BAE146,turboprop,metric,BAE,2909,11728,litres
DC8,jet,imperial,Douglas,4800,23393,gallons
F50,turboprop,metric,Fokker,2055,5140,litres
MD11,jet,imperial,McDonallDouglas,12670,38615,gallons
A400M,turboprop,metric,Airbus,3298,63500,litres
C212,turboprop,metric,Airbus,1811,1900,litres
V22,turboprop,imperial,Boeing ,1622,2067,gallons
